CODE_COMMUNE_INSEE,NOM_DE_LA_COMMUNE,FIRST__POSTAL,LIBELLE_D_ACHEMINEMENT,LIGNE_5,_GEOPOINT
49002,ALLONNES,49650,ALLONNES,Inconnu,473069328000810265
49002,ALLONNES,49650,Inconnu,Inconnu,Inconnu
49003,TUFFALUN,49700,TUFFALUN,AMBILLOU CHATEAU,4727049705032219575
49003,TUFFALUN,49700,TUFFALUN,LOUERRE,4727049705032219575
49003,TUFFALUN,49700,TUFFALUN,NOYANT LA PLAINE,4727049705032219575
49007,ANGERS,49000,ANGERS,Inconnu,474818960505629347499999999
49007,ANGERS,49100,ANGERS,Inconnu,474818960505629347499999999
49008,ANGRIE,49440,ANGRIE,Inconnu,475819468096774985
49009,ANTOIGNE,49260,ANTOIGNE,Inconnu,470792754501382129
49010,ARMAILLE,49420,ARMAILLE,Inconnu,47713490050000004114250375
49011,ARTANNES SUR THOUET,49260,ARTANNES SUR THOUET,Inconnu,47204157009776009999999999
49012,AUBIGNE SUR LAYON,49540,AUBIGNE SUR LAYON,Inconnu,4721268565047447385
49015,AVRILLE,49240,AVRILLE,Inconnu,47502706599999996060114205
49017,BARACE,49430,BARACE,Inconnu,47641562603563232
49018,BAUGE EN ANJOU,49150,BAUGE EN ANJOU,BAUGE,4755978775011425895
49018,BAUGE EN ANJOU,49150,BAUGE EN ANJOU,BOCE,4755978775011425895
49018,BAUGE EN ANJOU,49150,BAUGE EN ANJOU,CHARTRENE,4755978775011425895
49018,BAUGE EN ANJOU,49150,BAUGE EN ANJOU,CHEVIRE LE ROUGE,4755978775011425895
49018,BAUGE EN ANJOU,49150,BAUGE EN ANJOU,CLEFS,4755978775011425895
49018,BAUGE EN ANJOU,49150,BAUGE EN ANJOU,CUON,4755978775011425895
49018,BAUGE EN ANJOU,49150,BAUGE EN ANJOU,ECHEMIRE,4755978775011425895
49018,BAUGE EN ANJOU,49150,BAUGE EN ANJOU,FOUGERE,4755978775011425895
49018,BAUGE EN ANJOU,49150,BAUGE EN ANJOU,LE GUEDENIAU,4755978775011425895
